adaugaCarte,2025-05-28 19:30:22
adaugaEditura,2025-05-28 19:36:57
adaugaSectiune,2025-05-28 19:37:35
stergeSectiune,2025-05-28 19:37:53
adaugaAutor,2025-05-28 19:41:04
actualizeazaAutor,2025-05-28 19:42:58
stergeAutor,2025-05-28 19:43:40
Cauta carte dupa titlu,2025-05-28 19:44:11
Cauta carte dupa titlu,2025-05-28 19:57:24
Cauta carte dupa titlu,2025-05-28 20:00:13
Cauta carte dupa titlu,2025-05-28 20:02:51
Cauta carte dupa titlu,2025-05-28 20:03:06
adaugaCarte,2025-05-28 20:13:29
stergeCarte,2025-05-28 20:13:47
Actualizeaza titlu carte,2025-05-28 21:10:23
adaugaCarte,2025-06-02 20:49:26
Cauta carte dupa titlu,2025-06-02 20:49:37
Actualizeaza titlu carte,2025-06-02 20:50:23
stergeCarte,2025-06-02 20:51:13
Actualizeaza titlu carte,2025-06-02 20:51:46
adaugaAutor,2025-06-02 20:53:17
actualizeazaAutor,2025-06-02 20:54:55
stergeAutor,2025-06-02 20:55:20
